title_pt;title_en;year;rating;genre;sinopse;sinopse_clean;title_pt_encoded;Cluster
O Tesouro da Sierra Madre;147. The Treasure of the Sierra Madre;1947;8.2;Aventura;Dois americanos em busca de trabalho no México convencem um homem a ajudá-los a extrair ouro nas montanhas da Serra Madre.;Dois americanos busca trabalho México convencem homem ajudá-los extrair ouro montanhas Serra Madre.;173;8
Yojimbo, o Guarda-Costas;148. Yojimbo;1961;8.2;Ação;Um astuto ronin chega a uma cidade dividida por duas quadrilhas criminosas e decide se confrontar para libertar a cidade.;Um astuto ronin chega cidade dividida duas quadrilhas criminosas decide confrontar libertar cidade.;247;7
Onde os Fracos Não Têm Vez;149. No Country for Old Men;2007;8.2;Policial;Violência e caos surgem quando um caçador se depara com uma negociação de drogas que deu errado e mais de dois milhões de dólares perto do Rio Grande.;Violência caos surgem caçador depara negociação drogas deu errado dois milhões dólares perto Rio Grande.;176;6
Monty Python em Busca do Cálice Sagrado;150. Monty Python and the Holy Grail;1975;8.2;Aventura;O Rei Arthur e seus Cavaleiros da Távola Redonda embarcam em uma busca surrealista e de baixo orçamento pelo Santo Graal, encontrando múltiplos obstáculos estúpidos.;O Rei Arthur Cavaleiros Távola Redonda embarcam busca surrealista baixo orçamento Santo Graal, encontrando múltiplos obstáculos estúpidos.;131;4
Kill Bill: Volume 1;151. Kill Bill: Vol. 1;2003;8.2;Ação;Depois de despertar de um coma de quatro anos, uma antiga assassina busca vingança contra o grupo de assassinos que a traiu.;Depois despertar coma quatro anos, antiga assassina busca vingança contra grupo assassinos traiu.;112;8
Fugindo do Inferno;152. The Great Escape;1963;8.2;Aventura;Prisioneiros de guerra aliados planejam uma fuga maciça de um campo alemão durante a Segunda Guerra Mundial.;Prisioneiros guerra aliados planejam fuga maciça campo alemão durante Segunda Guerra Mundial.;84;1
O Enigma de Outro Mundo;153. The Thing;1982;8.2;Terror;Um team de investigação na Antartica é perseguido por extraterrestres.;Um team investigação Antartica perseguido extraterrestres.;138;1
Rashomon;154. Rashomon;1950;8.2;Policial;A violação de uma noiva e o assassinato de seu marido samurai são lembrados desde a perspectiva de um bandido, da noiva, do fantasma do samurai e de um lenhador.;A violação noiva assassinato marido samurai lembrados desde perspectiva bandido, noiva, fantasma samurai lenhador.;200;6
Procurando Nemo;155. Finding Nemo;2003;8.2;Animação;Quando seu filho é capturado, um peixe-palhaço tímido embarca em uma viagem para trazê-lo para casa.;Quando filho capturado, peixe-palhaço tímido embarca viagem trazê-lo casa.;194;6
O Homem Elefante;156. The Elephant Man;1980;8.2;Biografia;Um famoso médico estuda a um jovem com a cara deformada, conhecido como Homem Elefante, ele se da conta que o homem é inteligente e de bom coração.;Um famoso médico estuda jovem cara deformada, conhecido Homem Elefante, conta homem inteligente bom coração.;150;3
Chinatown;157. Chinatown;1974;8.2;Drama;Um detetive particular contratado para desmascarar um adúltero é pego em uma teia de fraude, corrupção e assassinato.;Um detetive particular contratado desmascarar adúltero pego teia fraude, corrupção assassinato.;53;3
Homem-Aranha: Sem Volta para Casa;158. Spider-Man: No Way Home;2021;8.2;Ação;Com a identidade do Homem-Aranha revelada, Peter pede ajuda ao Doutor Strange. Quando um feitiço corre mal, inimigos perigosos de outros mundos começam a aparecer, forçando Peter a descobrir o que realmente significa ser o Homem-Aranha.;Com identidade Homem-Aranha revelada, Peter pede ajuda Doutor Strange. Quando feitiço corre mal, inimigos perigosos outros mundos começam aparecer, forçando Peter descobrir realmente significa Homem-Aranha.;99;3
V de Vingança;159. V for Vendetta;2005;8.2;Ação;Em um futuro da tirania britânica, um lutador clandestino conhecido como V trama um plano para derrubá-la com a ajuda de uma jovem mulher.;Em futuro tirania britânica, lutador clandestino conhecido V trama plano derrubá-la ajuda jovem mulher.;239;2
...E o Vento Levou;160. Gone with the Wind;1939;8.2;Drama;Uma mulher manipuladora e uma truhan embarcam em um romance turbulento durante a Guerra Civil Americana e o período da Reconstrução.;Uma mulher manipuladora truhan embarcam romance turbulento durante Guerra Civil Americana período Reconstrução.;0;4
Touro Indomável;161. Raging Bull;1980;8.1;Biografia;A vida do boxeador Jake LaMotta, que vê como a violência e temperamento que o levam ao topo do ringue, destroem sua vida fora dele.;A vida boxeador Jake LaMotta, vê violência temperamento levam topo ringue, destroem vida dele.;226;4
Disque M para Matar;162. Dial M for Murder;1954;8.2;Policial;Um ex-tenista decide matar a esposa para herdar o dinheiro dela e se vingar de um caso que ela havia tido. A fim de se livrar de culpas, usa um antigo colega de faculdade. Mas as coisas não vão correr como estava planeado.;Um ex-tenista decide matar esposa herdar dinheiro vingar caso havia tido. A fim livrar culpas, usa antigo colega faculdade. Mas coisas vão correr planeado.;68;3
O Castelo Animado;163. Howl's Moving Castle;2004;8.2;Animação;Uma jovem sem autoconfiança é amaldiçoada com um corpo envelhecido por uma bruxa odiosa. Sua única chance de quebrar o feitiço é um jovem feiticeiro em um castelo itinerante.;Uma jovem autoconfiança amaldiçoada corpo envelhecido bruxa odiosa. Sua única chance quebrar feitiço jovem feiticeiro castelo itinerante.;137;7
Jogos, Trapaças e Dois Canos Fumegantes;164. Lock, Stock and Two Smoking Barrels;1998;8.1;Ação;Um jogo de cartas em Londres desencadeia um confronto entre quatro amigos, plantadores de maconha, agiotas e cobradores de dívidas em uma série de eventos curiosos, tudo por algo de maria, dinheiro e duas pistolas antigas.;Um jogo cartas Londres desencadeia confronto quatro amigos, plantadores maconha, agiotas cobradores dívidas série eventos curiosos, tudo algo maria, dinheiro duas pistolas antigas.;109;3
O Segredo dos Seus Olhos;165. The Secret in Their Eyes;2009;8.2;Drama;Um assessor jurídico aposentado escreve um romance com a esperança de fechar um de seus antigos casos de homicídio, que permanece sem solução, e superar o amor não correspondido que sentia por seu chefe. Décadas depois, ambas as memórias continuam a persegui-lo.;Um assessor jurídico aposentado escreve romance esperança fechar antigos casos homicídio, permanece solução, superar amor correspondido sentia chefe. Décadas depois, ambas memórias continuam persegui-lo.;164;3
Divertida Mente;166. Inside Out;2015;8.1;Animação;Quando o jovem Riley se muda á San Francisco deberá lidiar com suas emoções.;Quando jovem Riley muda á San Francisco deberá lidiar emoções.;69;4
Os Suspeitos;167. Prisoners;2013;8.1;Policial;Quando a filha de Keller Dover e sua amiguinha desaparecem, ele decide investigar o caso por sua conta enquanto a polícia segue múltiplas pistas e a pressão para resolver o caso aumenta.;Quando filha Keller Dover amiguinha desaparecem, decide investigar caso conta enquanto polícia segue múltiplas pistas pressão resolver caso aumenta.;186;3
Três Anúncios para um Crime;168. Three Billboards Outside Ebbing, Missouri;2017;8.1;Comédia;Uma mãe desafia pessoalmente as autoridades locais para resolver o assassinato de sua filha.;Uma mãe desafia pessoalmente autoridades locais resolver assassinato filha.;230;7
A Ponte do Rio Kwai;169. The Bridge on the River Kwai;1957;8.1;Aventura;Depois de resolver suas diferenças com um japonês, o comandante do campo, um coronel britânico, coopera para supervisionar a construção de uma ponte ferroviária.;Depois resolver diferenças japonês, comandante campo, coronel britânico, coopera supervisionar construção ponte ferroviária.;18;1
Trainspotting: Sem Limites;170. Trainspotting;1996;8.1;Drama;Renton, profundamente imerso no mundo das drogas em Edimburgo, tenta sair do ambiente apesar da má influência dos amigos.;Renton, profundamente imerso mundo drogas Edimburgo, tenta sair ambiente apesar má influência amigos.;229;4
Fargo: Uma Comédia de Erros;171. Fargo;1996;8.1;Policial;O crime de Jerry Lundegaard se desfaz devido à falta de sorte dele e de seus colegas e ao persistente trabalho polícia.;O crime Jerry Lundegaard desfaz devido falta sorte colegas persistente trabalho polícia.;78;6
Guerreiro;172. Warrior;2011;8.1;Ação;O filho pequeno de um exboxer alcoólatra volta para casa, onde seu pai o treina para um torneio de artes marciais mistas.;O filho pequeno exboxer alcoólatra volta casa, onde pai treina torneio artes marciais mistas.;91;7
Gran Torino;173. Gran Torino;2008;8.1;Drama;Walt Kowalski, um ranzinza veterano da guerra da Coreia, tenta dar uma lição em seu vizinho quando este tentar roubar seu bem mais precioso: um Gran Torino de 1972.;Walt Kowalski, ranzinza veterano guerra Coreia, tenta dar lição vizinho tentar roubar bem precioso: Gran Torino 1972.;89;1
Prenda-me se for Capaz;174. Catch Me If You Can;2002;8.1;Biografia;Um agente do FBI persegue Frank Abagnale, que antes de seus 19 anos consegue ganhar milhões de dólares fingindo ser um piloto, um médico e um advogado.;Um agente FBI persegue Frank Abagnale, antes 19 anos consegue ganhar milhões dólares fingindo piloto, médico advogado.;192;4
